% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1276	1	0	4	0	28	9422	0	1	1	0
1277	1	0	1	0	24	6882	0	1	1	0
1278	1	0	5	0	24	6882	0	1	1	0
1279	1	0	6	0	26	7708	0	1	1	0
1280	1	0	7	0	24	6882	0	1	1	0
1281	1	0	8	0	28	9422	0	1	1	0
1282	1	0	9	0	28	9422	0	1	1	0
1283	1	0	10	0	24	6882	0	1	1	0
1284	1	0	11	0	26	7708	0	1	1	0
1285	1	0	12	0	28	9422	0	1	1	0
1286	1	0	13	0	28	9422	0	1	1	0
1287	1	0	14	0	24	6882	0	1	1	0
1302	1	0	2	0	28	9422	0	1	1	0
1303	1	0	3	0	28	9422	0	1	1	0
1304	1	0	4	0	28	9422	0	1	1	0
1305	1	0	1	0	24	6882	0	1	1	0
1306	1	0	5	0	24	6882	0	1	1	0
1307	1	0	6	0	26	7708	0	1	1	0
1308	1	0	7	0	24	6882	0	1	1	0
1309	1	0	8	0	28	9422	0	1	1	0
1310	1	0	9	0	28	9422	0	1	1	0
