% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1936	1	0	4	0	26	7708	0	1	0
1937	1	0	8	0	26	7708	0	1	0
1941	1	0	5	0	26	7708	0	1	0
1942	1	0	9	0	26	7708	0	1	0
1944	1	0	8	0	26	7708	0	1	0
1945	1	0	12	0	26	7708	0	1	0
1946	1	0	15	0	26	3822	0	1	0
1946	1	0	3	0	24	3422	0	1	0
1947	1	0	1	0	26	7708	0	1	0
1948	1	0	20	0	28	9422	0	1	0
1951	1	0	11	0	28	9422	0	1	0
1955	1	0	20	0	28	4587	0	1	0
1955	1	0	9	0	26	3822	0	1	0
1958	1	0	11	0	28	9422	0	1	0
1959	1	0	8	0	26	7708	0	1	0
1960	1	0	3	0	24	6882	0	1	0
1963	1	0	4	0	26	7708	0	1	0
1964	1	0	4	0	26	7708	0	1	0
1965	1	0	9	0	26	7708	0	1	0
1966	1	0	15	0	26	7708	0	1	0
1967	1	0	20	0	28	9422	0	1	0
1968	1	0	5	0	26	7708	0	1	0
1969	1	0	3	0	24	3422	0	1	0
1969	1	0	9	0	26	3822	0	1	0
1970	1	0	3	0	24	6882	0	1	0
1971	1	0	11	0	28	9422	0	1	0
1973	1	0	12	0	26	3822	0	1	0
1973	1	0	3	0	24	3422	0	1	0
1977	1	0	14	0	24	6882	0	1	0
1981	1	0	8	0	26	7708	0	1	0
1983	1	0	9	0	26	7708	0	1	0
1984	1	0	1	0	26	7708	0	1	0
1985	1	0	20	0	28	9422	0	1	0
1986	1	0	5	0	26	7708	0	1	0
1987	1	0	3	0	24	6882	0	1	0
1988	1	0	8	0	26	7708	0	1	0
1991	1	0	12	0	26	7708	0	1	0
1992	1	0	15	0	26	7708	0	1	0
1993	1	0	9	0	26	7708	0	1	0
1996	1	0	11	0	28	4587	0	1	0
1996	1	0	9	0	26	3822	0	1	0
1998	1	0	12	0	26	7708	0	1	0
1999	1	0	15	0	26	7708	0	1	0
2001	1	0	3	0	24	6882	0	1	0
2005	1	0	8	0	26	7708	0	1	0
2006	1	0	9	0	26	7708	0	1	0
2008	1	0	20	0	28	9422	0	1	0
2009	1	0	14	0	24	6882	0	1	0
2010	1	0	5	0	26	3822	0	1	0
2010	1	0	9	0	26	3822	0	1	0
2011	1	0	9	0	26	7708	0	1	0
2012	1	0	8	0	26	7708	0	1	0
2013	1	0	12	0	26	7708	0	1	0
2014	1	0	15	0	26	3822	0	1	0
2014	1	0	3	0	24	3422	0	1	0
2015	1	0	20	0	28	9422	0	1	0
2016	1	0	1	0	26	7708	0	1	0
2017	1	0	5	0	26	7708	0	1	0
2018	1	0	4	0	26	7708	0	1	0
2019	1	0	11	0	28	9422	0	1	0
2020	1	0	9	0	26	7708	0	1	0
2024	1	0	3	0	24	3422	0	1	0
2024	1	0	9	0	26	3822	0	1	0
2025	1	0	9	0	26	7708	0	1	0
2026	1	0	11	0	28	9422	0	1	0
2027	1	0	8	0	26	7708	0	1	0
2028	1	0	3	0	24	6882	0	1	0
2032	1	0	20	0	28	9422	0	1	0
2033	1	0	5	0	26	7708	0	1	0
2037	1	0	12	0	26	7708	0	1	0
2039	1	0	15	0	26	7708	0	1	0
2042	1	0	11	0	28	4587	0	1	0
2042	1	0	3	0	24	3422	0	1	0
2044	1	0	12	0	26	7708	0	1	0
2045	1	0	15	0	26	7708	0	1	0
2049	1	0	11	0	28	9422	0	1	0
2050	1	0	8	0	26	7708	0	1	0
2052	1	0	3	0	24	6882	0	1	0
2053	1	0	1	0	26	7708	0	1	0
2055	1	0	3	0	24	3422	0	1	0
2055	1	0	20	0	28	4587	0	1	0
2056	1	0	5	0	26	7708	0	1	0
2057	1	0	9	0	26	7708	0	1	0
2060	1	0	12	0	26	7708	0	1	0
2062	1	0	15	0	26	7708	0	1	0
2065	1	0	11	0	28	4587	0	1	0
2065	1	0	3	0	24	3422	0	1	0
2067	1	0	12	0	26	7708	0	1	0
2068	1	0	15	0	26	7708	0	1	0
2069	1	0	3	0	24	6882	0	1	0
2071	1	0	11	0	28	9422	0	1	0
2072	1	0	8	0	26	7708	0	1	0
2075	1	0	20	0	28	9422	0	1	0
2076	1	0	5	0	26	7708	0	1	0
2078	1	0	8	0	26	7708	0	1	0
2079	1	0	12	0	26	7708	0	1	0
2080	1	0	15	0	26	7708	0	1	0
2081	1	0	20	0	28	9422	0	1	0
2082	1	0	5	0	26	7708	0	1	0
2083	1	0	11	0	28	4587	0	1	0
2083	1	0	3	0	24	3422	0	1	0
2084	1	0	1	0	26	7708	0	1	0
2086	1	0	12	0	26	7708	0	1	0
2087	1	0	15	0	26	7708	0	1	0
2090	1	0	11	0	28	9422	0	1	0
2091	1	0	8	0	26	7708	0	1	0
2094	1	0	20	0	28	9422	0	1	0
2095	1	0	5	0	26	7708	0	1	0
2096	1	0	3	0	24	6882	0	1	0
2097	1	0	8	0	26	7708	0	1	0
2100	1	0	12	0	26	7708	0	1	0
2101	1	0	15	0	26	7708	0	1	0
2103	1	0	4	0	26	7708	0	1	0
2105	1	0	11	0	28	9422	0	1	0
2106	1	0	3	0	24	6882	0	1	0
2110	1	0	3	0	24	6882	0	1	0
2114	1	0	8	0	26	7708	0	1	0
2117	1	0	20	0	28	4587	0	1	0
2117	1	0	4	0	26	3822	0	1	0
2118	1	0	5	0	26	3822	0	1	0
2118	1	0	4	0	26	3822	0	1	0
2121	1	0	1	0	26	7708	0	1	0
2123	1	0	12	0	26	3822	0	1	0
2123	1	0	3	0	24	3422	0	1	0
2124	1	0	15	0	26	7708	0	1	0
2127	1	0	11	0	28	9422	0	1	0
2129	1	0	12	0	26	7708	0	1	0
2131	1	0	15	0	26	7708	0	1	0
2133	1	0	3	0	24	3422	0	1	0
2133	1	0	4	0	26	3822	0	1	0
2135	1	0	20	0	28	9422	0	1	0
2136	1	0	5	0	26	7708	0	1	0
2137	1	0	3	0	24	6882	0	1	0
2138	1	0	8	0	26	7708	0	1	0
2141	1	0	20	0	28	9422	0	1	0
2142	1	0	5	0	26	7708	0	1	0
2145	1	0	11	0	28	9422	0	1	0
2147	1	0	12	0	26	3822	0	1	0
2147	1	0	3	0	24	3422	0	1	0
2148	1	0	15	0	26	7708	0	1	0
